ax -0.00975702, ay -0.714563, az 9.81107
gx 0.0169299, gy -0.00518289, gz 3.07051
qx -2.96815e-06, qy -0.00245768, qz 0.0143248
ax -0.00258402, ay -0.742712, az 9.80912
gx 0.0143015, gy -0.00321846, gz 3.0441
qx -0.000215968, qy -0.00250916, qz -0.137539
roll -0.0755722, pitch 0.000262678, yaw -9.93031e-06
ax -1.67938, ay -0.300808, az 9.8991
gx 0.0176695, gy 0.00363695, gz 3.06114
qx -0.000180549, qy -0.00237176, qz -0.0457063
roll -0.0725267, pitch 0.0165581, yaw 0.194735
ax 0.184715, ay -0.542564, az 9.80386
gx 0.0312219, gy 0.0199011, gz 2.72716
qx 0.000361027, qy -0.00213023, qz 0.0469314
roll -0.0663689, pitch 0.0294623, yaw 0.368373
ax -0.198633, ay -0.774746, az 9.81043
gx 0.00967626, gy -0.0128145, gz 3.0838
qx 0.000419995, qy -0.00234247, qz 0.0961011
roll -0.0630218, pitch 0.0352726, yaw 0.466841
ax -0.0231369, ay -0.814446, az 9.80876
gx 0.0138217, gy -0.00343026, gz 3.10012
qx 0.000624185, qy -0.00245807, qz 0.194002
roll -0.0543069, pitch 0.0462148, yaw 0.664428
ax -0.0431668, ay -0.841876, az 9.80934
gx 0.0144213, gy -0.00278891, gz 3.10909
qx 0.000736008, qy -0.00248469, qz 0.242503
roll -0.0493655, pitch 0.0507939, yaw 0.763809
ax -1.47772, ay -0.233865, az 9.89821
gx 0.0179645, gy 0.00109852, gz 3.12738
qx 0.000735572, qy -0.00235254, qz 0.332616
roll -0.0370406, pitch 0.0604083, yaw 0.963419
ax -0.132799, ay -0.896809, az 9.80815
gx 0.01649, gy -0.00446228, gz 3.14048
qx 0.000888772, qy -0.00236566, qz 0.379524
roll -0.0308849, pitch 0.0631467, yaw 1.06393
ax -0.130951, ay -0.73648, az 9.80957
gx 0.0101242, gy -0.0100636, gz 3.00889
qx 0.00125841, qy -0.00206187, qz 0.463525
roll -0.0182475, pitch 0.0666401, yaw 1.25624
ax -0.000498139, ay -0.739053, az 9.8083
gx 0.0124388, gy -0.00510273, gz 3.02087
qx 0.00137131, qy -0.00209999, qz 0.505762
roll -0.0119774, pitch 0.0672293, yaw 1.353
ax -0.000234974, ay -0.743109, az 9.80911
gx 0.0142543, gy -0.00323562, gz 3.04063
qx 0.00160041, qy -0.00209742, qz 0.586993
roll 0.00133179, pitch 0.0673043, yaw 1.54738
ax 1.72354, ay -1.08113, az 9.72855
gx -0.0017272, gy 0.00500496, gz 2.71263
qx 0.0015506, qy -0.00209509, qz 0.658982
roll 0.0116169, pitch 0.0639932, yaw 1.72086
ax -0.00656159, ay -0.725242, az 9.81094
gx 0.0171475, gy -0.00495743, gz 3.07337
qx 0.00177709, qy -0.00187461, qz 0.729514
roll 0.0239412, pitch 0.0594899, yaw 1.91721
ax 0.188491, ay -0.569171, az 9.80399
gx 0.0313965, gy 0.0201052, gz 2.73064
qx 0.00180145, qy -0.00136429, qz 0.758674
roll 0.0291919, pitch 0.0570054, yaw 2.00462
ax -0.00684828, ay -0.80043, az 9.80828
gx 0.0130994, gy -0.00445115, gz 3.09653
qx 0.00209795, qy -0.00143823, qz 0.819278
roll 0.0393955, pitch 0.0493164, yaw 2.20224
ax -0.0325452, ay -0.832155, az 9.80889
gx 0.0139095, gy -0.00326263, gz 3.10523
qx 0.00219392, qy -0.00138809, qz 0.846722
roll 0.0432356, pitch 0.0446292, yaw 2.30149
ax 1.63545, ay -0.899691, az 9.73218
gx -0.000721637, gy 0.00593904, gz 2.76504
qx 0.00213171, qy -0.00138467, qz 0.892925
roll 0.0489718, pitch 0.0347048, yaw 2.47791
ax -1.45645, ay -0.24146, az 9.89783
gx 0.0180792, gy 0.00092023, gz 3.1343
qx 0.00217619, qy -0.00122492, qz 0.914353
roll 0.0520089, pitch 0.0307994, yaw 2.57803
ax 0.338829, ay -0.524065, az 9.80683
gx 0.0319112, gy 0.0186723, gz 2.79605
qx 0.00213198, qy -0.000635482, qz 0.948654
roll 0.0576574, pitch 0.0215199, yaw 2.75633
ax -0.131065, ay -0.74117, az 9.8096
gx 0.0102326, gy -0.0100148, gz 3.01599
qx 0.00230226, qy -0.00063267, qz 0.962797
roll 0.058419, pitch 0.015516, yaw 2.85258
ax -0.0024424, ay -0.744518, az 9.80884
gx 0.0135653, gy -0.00393159, gz 3.03685
qx 0.00247933, qy -0.000490401, qz 0.984431
roll 0.0597785, pitch 0.00361877, yaw 3.04597
ax 1.73161, ay -1.08358, az 9.72842
gx -0.00214209, gy 0.00447637, gz 2.71005
qx 0.00244813, qy -0.000528651, qz 0.996417
roll 0.0577173, pitch -0.00811605, yaw -3.06449
ax -0.00973162, ay -0.711854, az 9.81112
gx 0.0169677, gy -0.00516953, gz 3.07037
qx 0.00245605, qy -0.000209032, qz 0.999907
roll 0.0547979, pitch -0.0194163, yaw -2.8689
ax 0.183975, ay -0.565286, az 9.80379
gx 0.0311976, gy 0.0199059, gz 2.72831
qx 0.00211896, qy 0.00017791, qz 0.998372
roll 0.0528087, pitch -0.0234774, yaw -2.7817
ax -0.00360023, ay -0.787371, az 9.80841
gx 0.0130133, gy -0.00460418, gz 3.0934
qx 0.00238027, qy 0.000339443, qz 0.987882
roll 0.0467024, pitch -0.0334056, yaw -2.58451
ax -0.0268897, ay -0.820416, az 9.80879
gx 0.0138292, gy -0.00340417, gz 3.10185
qx 0.00241326, qy 0.000447829, qz 0.978975
roll 0.0423328, pitch -0.0375897, yaw -2.48533
ax 1.61629, ay -0.929359, az 9.73183
gx -0.000917678, gy 0.00602839, gz 2.76181
qx 0.00236127, qy 0.000415658, qz 0.95554
roll 0.0337724, pitch -0.0452459, yaw -2.30894
ax -1.47324, ay -0.238589, az 9.89819
gx 0.0179851, gy 0.00102143, gz 3.12971
qx 0.00227834, qy 0.000566694, qz 0.939598
roll 0.0291232, pitch -0.046431, yaw -2.20879
ax 0.320691, ay -0.525269, az 9.80677
gx 0.031822, gy 0.0187531, gz 2.79077
qx 0.00183495, qy 0.000972368, qz 0.902949
roll 0.0217955, pitch -0.0496753, yaw -2.03044
ax -0.00388725, ay -0.741539, az 9.80832
gx 0.0124526, gy -0.00508466, gz 3.02309
qx -0.00198266, qy -0.0012164, qz -0.857352
roll 0.0117386, pitch -0.0527942, yaw -1.83729
ax -0.00403619, ay -0.744798, az 9.80913
gx 0.014264, gy -0.00322604, gz 3.04246
qx -0.00196063, qy -0.00145623, qz -0.803391
roll 0.00142839, pitch -0.0538123, yaw -1.64287
ax -0.00302109, ay -0.746994, az 9.80934
gx 0.0148729, gy -0.0026686, gz 3.051
