ax -0.009003, ay -0.087252, az 7.68341
gx -0.00104485, gy -3.60909, gz -2.44433e-05
qx -0.0450127, qy -0.046381, qz -0.696213
roll -0.0113554, pitch 0.00117167, yaw -2.66142e-05
ax 2.55542, ay 0.0160442, az 7.30121
gx -0.00607361, gy 0.422813, gz -0.00024813
qx -0.0189772, qy -0.019301, qz -0.711605
roll -0.0112545, pitch 0.0154352, yaw -0.000348475
ax 0.31542, ay 0.00419333, az 9.66993
gx -0.00470306, gy 0.316237, gz -0.000278096
qx -0.0154349, qy -0.0156894, qz -0.711697
roll -0.00989743, pitch 0.0193359, yaw -0.000445339
ax 0.233114, ay 0.00278957, az 9.72981
gx -0.00300628, gy 0.199355, gz -0.000238923
qx -0.0103966, qy -0.0105509, qz -0.711797
roll -0.00716178, pitch 0.0196181, yaw -0.000529899
ax 0.164848, ay 0.00175127, az 9.75915
gx -0.00192277, gy 0.126663, gz -0.000178055
qx -0.00719855, qy -0.00728849, qz -0.711842
roll -0.00476419, pitch 0.0151679, yaw -0.000555232
ax 0.121082, ay 0.00108014, az 9.77765
gx -0.00123, gy 0.0806395, gz -0.000124758
qx -0.0051636, qy -0.00521227, qz -0.711863
roll -0.00261315, pitch 0.00770756, yaw -0.000562007
ax 0.105524, ay 0.00084018, az 9.78416
gx -0.000983819, gy 0.0643737, gz -0.000103118
qx -0.00444261, qy -0.00447659, qz -0.711869
roll -0.00172146, pitch 0.00343029, yaw -0.000565481
ax 0.0831357, ay 0.000493484, az 9.79349
gx -0.000629448, gy 0.0410497, gz -6.94377e-05
qx -0.00340719, qy -0.00341999, qz -0.711877
roll 0.000116567, pitch -0.00660688, yaw -0.000577229
ax 0.0751827, ay 0.000369953, az 9.7968
gx -0.000503484, gy 0.0327879, gz -5.67207e-05
qx -0.00303998, qy -0.00304524, qz -0.711879
roll -0.000359654, pitch -0.0119508, yaw -0.00057461
ax 0.0637429, ay 0.000192013, az 9.80153
gx -0.000322128, gy 0.0209248, gz -3.76655e-05
qx -0.00251232, qy -0.00250672, qz -0.711883
roll 0.000513328, pitch 0.00217053, yaw -0.000582017
ax 0.0596806, ay 0.000128811, az 9.80321
gx -0.000257655, gy 0.016718, gz -3.06546e-05
qx -0.0023251, qy -0.00231563, qz -0.711884
roll 0.000118567, pitch -0.00369259, yaw -0.000582406
ax 0.0538386, ay 3.80296e-05, az 9.80563
gx -0.000164823, gy 0.0106734, gz -2.02934e-05
qx -0.00205598, qy -0.00204095, qz -0.711885
roll -0.000699781, pitch -0.0158047, yaw -0.000575684
ax 0.0517645, ay 5.88023e-06, az 9.80649
gx -0.000131819, gy 0.00852877, gz -1.65163e-05
qx -0.00196047, qy -0.00194346, qz -0.711885
roll -0.000278185, pitch -0.00914343, yaw -0.000581729
ax 0.048782, ay -4.01781e-05, az 9.80772
gx -8.42986e-05, gy 0.00544616, gz -1.09593e-05
qx -0.00182317, qy -0.00180331, qz -0.711886
roll 0.000560659, pitch 0.0039974, yaw -0.000584736
ax 0.046877, ay -6.93932e-05, az 9.80851
gx -5.38907e-05, gy 0.00347797, gz -7.29959e-06
qx -0.00173548, qy -0.0017138, qz -0.711886
roll -0.000268835, pitch -0.00857269, yaw -0.000583166
ax 0.0456603, ay -8.78855e-05, az 9.80901
gx -3.44349e-05, gy 0.00222117, gz -4.89068e-06
qx -0.00167949, qy -0.00165664, qz -0.711887
roll 0.000579449, pitch 0.00434134, yaw -0.000585331
ax 0.0452284, ay -9.43957e-05, az 9.80919
gx -2.75196e-05, gy 0.00177507, gz -4.01543e-06
qx -0.00165961, qy -0.00163635, qz -0.711887
roll 0.000158517, pitch -0.00199617, yaw -0.000585917
ax 0.0446074, ay -0.000103675, az 9.80945
gx -1.75662e-05, gy 0.00113367, gz -2.72955e-06
qx -0.00163103, qy -0.00160717, qz -0.711887
roll -0.000684422, pitch -0.0146981, yaw -0.000579046
ax 0.0443869, ay -0.000106935, az 9.80954
gx -1.403e-05, gy 0.000905998, gz -2.26241e-06
qx -0.00162089, qy -0.00159682, qz -0.711887
roll -0.00026143, pitch -0.00828274, yaw -0.000584005
ax 0.04407, ay -0.000111573, az 9.80967
gx -8.94354e-06, gy 0.000578641, gz -1.57592e-06
qx -0.0016063, qy -0.00158193, qz -0.711887
roll 0.000584039, pitch 0.00452908, yaw -0.000585707
ax 0.0439575, ay -0.000113201, az 9.80972
gx -7.13826e-06, gy 0.000462435, gz -1.32621e-06
qx -0.00160112, qy -0.00157664, qz -0.711887
roll 0.000161867, pitch -0.00184973, yaw -0.000586305
ax 0.0437957, ay -0.000115514, az 9.80978
gx -4.54545e-06, gy 0.000295349, gz -9.57883e-07
qx -0.00159367, qy -0.00156904, qz -0.711887
roll -0.000682382, pitch -0.0146089, yaw -0.000579417
ax 0.0437383, ay -0.000116326, az 9.80981
gx -3.62726e-06, gy 0.000236037, gz -8.22871e-07
qx -0.00159103, qy -0.00156634, qz -0.711887
roll -0.00026, pitch -0.008215, yaw -0.00058427
ax 0.0436557, ay -0.000117482, az 9.80984
gx -2.31258e-06, gy 0.000150753, gz -6.20882e-07
qx -0.00158723, qy -0.00156247, qz -0.711887
roll 0.000585059, pitch 0.00457534, yaw -0.000585851
ax 0.043603, ay -0.000118215, az 9.80986
gx -1.48107e-06, gy 9.62839e-05, gz -4.81392e-07
qx -0.0015848, qy -0.00155999, qz -0.711887
roll -0.000260158, pitch -0.00820549, yaw -0.000584344
ax 0.0435693, ay -0.000118687, az 9.80988
gx -9.58761e-07, gy 6.14952e-05, gz -3.80733e-07
qx -0.00158325, qy -0.00155841, qz -0.711887
roll 0.000585265, pitch 0.00457927, yaw -0.000585903
ax 0.0435574, ay -0.000118857, az 9.80988
gx -7.76903e-07, gy 4.91456e-05, gz -3.39894e-07
qx -0.0015827, qy -0.00155784, qz -0.711887
roll 0.000162459, pitch -0.00181262, yaw -0.000586497
ax 0.0435402, ay -0.000119114, az 9.80989
gx -5.22084e-07, gy 3.13886e-05, gz -2.70316e-07
qx -0.00158191, qy -0.00155703, qz -0.711887
roll -0.000682736, pitch -0.0145895, yaw -0.000579583
ax 0.0435341, ay -0.000119213, az 9.80989
gx -4.34883e-07, gy 2.50851e-05, gz -2.39647e-07
qx -0.00158163, qy -0.00155675, qz -0.711887
roll -0.000260275, pitch -0.00820228, yaw -0.000584405
ax 0.0435253, ay -0.000119372, az 9.8099
gx -3.15179e-07, gy 1.60215e-05, gz -1.83231e-07
qx -0.00158123, qy -0.00155633, qz -0.711887
roll 0.000585037, pitch 0.0045793, yaw -0.000585949
ax 0.0435222, ay -0.000119439, az 9.8099
gx -2.75283e-07, gy 1.28041e-05, gz -1.5662e-07
qx -0.00158109, qy -0.00155619, qz -0.711887
roll 0.000162197, pitch -0.00181379, yaw -0.000586538
ax 0.0435177, ay -0.000119556, az 9.8099
gx -2.22003e-07, gy 8.17781e-06, gz -1.05282e-07
qx -0.00158088, qy -0.00155597, qz -0.711887
roll -0.000683022, pitch -0.0145919, yaw -0.000579612
ax 0.0435161, ay -0.00011961, az 9.8099
gx -2.04757e-07, gy 6.53556e-06, gz -8.02894e-08
qx -0.00158081, qy -0.0015559, qz -0.711887
roll -0.000260574, pitch -0.00820524, yaw -0.00058443
ax 0.0435138, ay -0.000119712, az 9.8099
gx -1.8204e-07, gy 4.17422e-06, gz -3.14645e-08
qx -0.00158071, qy -0.00155579, qz -0.711887
roll 0.000584658, pitch 0.00457471, yaw -0.000585966
ax 0.0435124, ay -0.000119809, az 9.8099
gx -1.68604e-07, gy 2.66606e-06, gz 1.55549e-08
qx -0.00158064, qy -0.00155572, qz -0.711887
roll -0.000261077, pitch -0.00821227, yaw -0.000584427
ax 0.0435115, ay -0.000119904, az 9.8099
gx -1.59168e-07, gy 1.7028e-06, gz 6.0055e-08
qx -0.0015806, qy -0.00155567, qz -0.711887
roll 0.000584058, pitch 0.00456592, yaw -0.000585964
ax 0.0435111, ay -0.00011995, az 9.8099
gx -1.54845e-07, gy 1.36085e-06, gz 8.10584e-08
qx -0.00158059, qy -0.00155565, qz -0.711887
roll 0.000161188, pitch -0.00182768, yaw -0.00058654
ax 0.0435107, ay -0.000120039, az 9.8099
gx -1.45549e-07, gy 8.69138e-07, gz 1.19894e-07
qx -0.00158057, qy -0.00155563, qz -0.711887
roll -0.00068399, pitch -0.0146051, yaw -0.000579588
ax 0.0435105, ay -0.000120082, az 9.8099
gx -1.40192e-07, gy 6.94578e-07, gz 1.3745e-07
qx -0.00158056, qy -0.00155562, qz -0.711887
roll -0.000261536, pitch -0.00821867, yaw -0.000584405
ax 0.0435103, ay -0.000120163, az 9.8099
gx -1.27467e-07, gy 4.43563e-07, gz 1.68174e-07
qx -0.00158055, qy -0.0015556, qz -0.711887
roll 0.000583502, pitch 0.0045579, yaw -0.000585941
ax 0.0435102, ay -0.0001202, az 9.8099
gx -1.19978e-07, gy 3.54443e-07, gz 1.81099e-07
qx -0.00158055, qy -0.0015556, qz -0.711887
roll 0.000160624, pitch -0.00183581, yaw -0.000586511
ax 0.0435101, ay -0.000120267, az 9.8099
gx -1.02664e-07, gy 2.26292e-07, gz 2.01554e-07
qx -0.00158055, qy -0.00155559, qz -0.711887
roll -0.000684517, pitch -0.0146127, yaw -0.000579547
ax 0.04351, ay -0.000120296, az 9.8099
gx -9.28772e-08, gy 1.80798e-07, gz 2.08916e-07
qx -0.00158055, qy -0.00155559, qz -0.711887
roll -0.000262061, pitch -0.00822627, yaw -0.000584365
ax 0.04351, ay -0.000120346, az 9.8099
gx -7.12818e-08, gy 1.15383e-07, gz 2.17602e-07
qx -0.00158055, qy -0.00155558, qz -0.711887
roll 0.000582859, pitch 0.00454837, yaw -0.000585905
ax 0.0435099, ay -0.000120381, az 9.8099
gx -4.74736e-08, gy 7.36121e-08, gz 2.18039e-07
qx -0.00158055, qy -0.00155558, qz -0.711887
roll -0.00026293, pitch -0.00823932, yaw -0.00058433
ax 0.0435099, ay -0.0001204, az 9.8099
gx -2.21801e-08, gy 4.69572e-08, gz 2.10242e-07
qx -0.00158055, qy -0.00155558, qz -0.711887
roll 0.000581779, pitch 0.00453204, yaw -0.000585882
ax 0.0435099, ay -0.000120404, az 9.8099
gx -9.23666e-09, gy 3.75083e-08, gz 2.03341e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.00015888, pitch -0.00186194, yaw -0.00058644
ax 0.0435099, ay -0.0001204, az 9.8099
gx 1.66841e-08, gy 2.39439e-08, gz 1.83867e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000686144, pitch -0.0146373, yaw -0.000579457
ax 0.0435099, ay -0.000120392, az 9.8099
gx 2.94313e-08, gy 1.91435e-08, gz 1.71479e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000263682, pitch -0.00825073, yaw -0.000584286
ax 0.0435099, ay -0.000120365, az 9.8099
gx 5.39264e-08, gy 1.22674e-08, gz 1.41986e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.000581049, pitch 0.00452085, yaw -0.000585853
ax 0.0435099, ay -0.000120345, az 9.8099
gx 6.5451e-08, gy 9.83866e-09, gz 1.25159e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.000158142, pitch -0.00187323, yaw -0.000586408
ax 0.0435099, ay -0.000120297, az 9.8099
gx 8.65271e-08, gy 6.36637e-09, gz 8.81333e-08
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000686833, pitch -0.014648, yaw -0.000579423
ax 0.0435099, ay -0.000120236, az 9.8099
gx 1.04336e-07, gy 4.16093e-09, gz 4.77879e-08
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.000158082, pitch -0.00187434, yaw -0.0005864
ax 0.0435099, ay -0.000120166, az 9.8099
gx 1.18221e-07, gy 2.75438e-09, gz 5.63486e-09
qx -0.00158053, qy -0.00155558, qz -0.711887
roll -0.000686886, pitch -0.0146491, yaw -0.000579418
ax 0.0435099, ay -0.000120129, az 9.8099
gx 1.23524e-07, gy 2.25178e-09, gz -1.5627e-08
qx -0.00158053, qy -0.00155559, qz -0.711887
roll -0.000264424, pitch -0.00826246, yaw -0.000584258
ax 0.0435099, ay -0.000120049, az 9.8099
gx 1.30609e-07, gy 1.51501e-09, gz -5.7525e-08
qx -0.00158053, qy -0.00155559, qz -0.711887
roll 0.000580321, pitch 0.00450934, yaw -0.000585847
ax 0.0435099, ay -0.000120008, az 9.8099
gx 1.32325e-07, gy 1.24351e-09, gz -7.7768e-08
qx -0.00158053, qy -0.00155559, qz -0.711887
roll 0.000157409, pitch -0.00188486, yaw -0.000586405
ax 0.0435099, ay -0.000119926, az 9.8099
gx 1.32025e-07, gy 8.27686e-10, gz -1.15894e-07
qx -0.00158053, qy -0.00155559, qz -0.711887
roll -0.000687521, pitch -0.0146591, yaw -0.000579423
ax 0.0435099, ay -0.000119886, az 9.8099
gx 1.30012e-07, gy 6.68151e-10, gz -1.33419e-07
qx -0.00158052, qy -0.00155559, qz -0.711887
roll -0.000265059, pitch -0.00827247, yaw -0.000584271
ax 0.0435099, ay -0.000119808, az 9.8099
gx 1.22356e-07, gy 4.12641e-10, gz -1.64573e-07
qx -0.00158052, qy -0.0015556, qz -0.711887
roll 0.000579686, pitch 0.00449947, yaw -0.000585875
ax 0.0435099, ay -0.000119772, az 9.8099
gx 1.16785e-07, gy 3.09633e-10, gz -1.77909e-07
qx -0.00158052, qy -0.0015556, qz -0.711887
roll 0.000156772, pitch -0.00189483, yaw -0.000586431
